year,month,murders
2010,Jan,3
2010,Feb,1
2010,Mar,3
2010,Apr,5
2010,May,3
2010,Jun,2
2010,Jul,3
2010,Aug,2
2010,Sep,5
2010,Oct,4 
2010,Nov,5 
2010,Dec,3
2011,Jan,2
2011,Feb,1
2011,Mar,2
2011,Apr,4
2011,May,2
2011,Jun,1
2011,Jul,0
2011,Aug,5
2011,Sep,4
2011,Oct,2 
2011,Nov,2 
2011,Dec,2
2012,Jan,3
2012,Feb,1
2012,Mar,2
2012,Apr,5
2012,May,2
2012,Jun,4
2012,Jul,3
2012,Aug,1
2012,Sep,4
2012,Oct,2 
2012,Nov,5 
2012,Dec,1
2013,Jan,0
2013,Feb,3
2013,Mar,1
2013,Apr,4
2013,May,0
2013,Jun,1
2013,Jul,4
2013,Aug,0
2013,Sep,4
2013,Oct,2 
2013,Nov,2 
2013,Dec,4
2014,Jan,3
2014,Feb,2
2014,Mar,1
2014,Apr,1
2014,May,0
2014,Jun,2
2014,Jul,2
2014,Aug,1
2014,Sep,4
2014,Oct,4 
2014,Nov,5 
2014,Dec,6
2015,Jan,1
2015,Feb,1
2015,Mar,2
2015,Apr,4
2015,May,1
2015,Jun,0
2015,Jul,2
2015,Aug,1
2015,Sep,1
2015,Oct,0 
2015,Nov,6 
2015,Dec,3
2016,Jan,2
2016,Feb,0
2016,Mar,2
2016,Apr,1
2016,May,2
2016,Jun,5
2016,Jul,7
2016,Aug,4
2016,Sep,2
2016,Oct,3 
2016,Nov,5 
2016,Dec,6
2017,Jan,1
2017,Feb,1
2017,Mar,4
2017,Apr,1
2017,May,2
2017,Jun,2
2017,Jul,2
2017,Aug,5
2017,Sep,2
2017,Oct,2 
2017,Nov,1 
2017,Dec,2
2018,Jan,1
2018,Feb,0
2018,Mar,6
2018,Apr,1
2018,May,3
2018,Jun,5
2018,Jul,2
2018,Aug,2
2018,Sep,6
2018,Oct,1 
2018,Nov,3 
2018,Dec,2
2019,Jan,2
2019,Feb,1
2019,Mar,4
2019,Apr,1
2019,May,2
2019,Jun,3
2019,Jul,6
2019,Aug,4
2019,Sep,2
2019,Oct,1 
2019,Nov,3 
2019,Dec,4
2020,Jan,5
2020,Feb,4
2020,Mar,5
2020,Apr,2
2020,May,1
2020,Jun,4
2020,Jul,5
2020,Aug,5
2020,Sep,3
2020,Oct,5 
2020,Nov,5 
2020,Dec,2
2021,Jan,5
2021,Feb,8
2021,Mar,9
2021,Apr,9
2021,May,6
2021,Jun,9
2021,Jul,4
2021,Aug,4
2021,Sep,11
2021,Oct,10
2021,Nov,6
